type,amount,fitness,time
TreeHeight,6,0.939,29.799367427825928
TreeHeight,8,0.9437,46.52212166786194
TreeHeight,10,0.939,41.67028450965881
TreeHeight,12,0.9577,42.71825122833252
MaxInitialTreeHeight,1,0.9484,29.23226809501648
MaxInitialTreeHeight,2,0.9718,29.808889627456665
MaxInitialTreeHeight,4,0.9577,38.503780364990234
MaxInitialTreeHeight,5,0.9202,30.154541015625
MaxMutationSubtreeHeight,1,0.939,24.471256732940674
MaxMutationSubtreeHeight,2,0.9249,28.63215184211731
MaxMutationSubtreeHeight,4,0.9343,25.13504147529602
MaxMutationSubtreeHeight,5,0.9531,26.76847767829895
CroisProbability,0.4,0.9343,17.116158723831177
CroisProbability,0.5,0.9202,23.18032717704773
CroisProbability,0.6,0.9155,26.708300352096558
CroisProbability,0.8,0.9577,30.801117420196533
MutationProbability,0.1,0.9343,21.37506365776062
MutationProbability,0.15,0.939,30.122531414031982
MutationProbability,0.25,0.9437,28.669668197631836
MutationProbability,0.3,0.9437,26.914180278778076
TreeHeight,6,0.9437,37.24217748641968
TreeHeight,8,0.9343,39.157610177993774
TreeHeight,10,0.939,56.813180446624756
TreeHeight,12,0.9765,46.805007219314575
MaxInitialTreeHeight,1,0.939,26.979939222335815
MaxInitialTreeHeight,2,0.9343,29.057371139526367
MaxInitialTreeHeight,4,0.939,31.34015989303589
MaxInitialTreeHeight,5,0.9296,27.22855544090271
MaxMutationSubtreeHeight,1,0.939,23.43077778816223
MaxMutationSubtreeHeight,2,0.9343,33.41966271400452
MaxMutationSubtreeHeight,4,0.939,23.273117303848267
MaxMutationSubtreeHeight,5,0.9108,24.324538707733154
CroisProbability,0.4,0.939,18.45982027053833
CroisProbability,0.5,0.939,20.765225887298584
CroisProbability,0.6,0.939,24.91540002822876
CroisProbability,0.8,0.9061,28.418918132781982
MutationProbability,0.1,0.9202,24.62506365776062
MutationProbability,0.15,0.939,24.3830726146698
MutationProbability,0.25,0.9624,32.75922727584839
MutationProbability,0.3,0.939,29.613514184951782
TreeHeight,6,0.9624,33.12213087081909
TreeHeight,8,0.9437,31.800406217575073
TreeHeight,10,0.9531,35.87834858894348
TreeHeight,12,0.939,62.4398877620697
MaxInitialTreeHeight,1,0.9202,27.60579228401184
MaxInitialTreeHeight,2,0.9108,22.613749504089355
MaxInitialTreeHeight,4,0.9343,25.132778644561768
MaxInitialTreeHeight,5,0.9531,33.56848859786987
MaxMutationSubtreeHeight,1,0.9296,21.460812091827393
MaxMutationSubtreeHeight,2,0.9296,25.293062925338745
MaxMutationSubtreeHeight,4,0.939,28.4002366065979
MaxMutationSubtreeHeight,5,0.9296,27.707489252090454
CroisProbability,0.4,0.9343,15.161487817764282
CroisProbability,0.5,0.9061,16.948631525039673
CroisProbability,0.6,0.9108,19.712276458740234
CroisProbability,0.8,0.9343,27.209649562835693
MutationProbability,0.1,0.9343,23.795719146728516
MutationProbability,0.15,0.939,23.236629009246826
MutationProbability,0.25,0.9437,28.005293130874634
MutationProbability,0.3,0.9343,27.48788857460022
TreeHeight,6,0.9437,24.839622735977173
TreeHeight,8,0.9296,30.46346139907837
TreeHeight,10,0.9577,49.20950937271118
TreeHeight,12,0.9577,45.189563035964966
MaxInitialTreeHeight,1,0.9155,23.422771692276
MaxInitialTreeHeight,2,0.939,23.11620545387268
MaxInitialTreeHeight,4,0.9343,27.354673147201538
MaxInitialTreeHeight,5,0.9343,23.406392097473145
MaxMutationSubtreeHeight,1,0.9296,25.462536573410034
MaxMutationSubtreeHeight,2,0.9296,24.250842332839966
MaxMutationSubtreeHeight,4,0.9343,21.23111367225647
MaxMutationSubtreeHeight,5,0.9437,30.290705919265747
CroisProbability,0.4,0.939,17.107654571533203
CroisProbability,0.5,0.9343,20.42737603187561
CroisProbability,0.6,0.9343,21.03355050086975
CroisProbability,0.8,0.9343,31.312232494354248
MutationProbability,0.1,0.892,18.704591751098633
MutationProbability,0.15,0.9531,24.040584325790405
MutationProbability,0.25,0.939,28.43895673751831
MutationProbability,0.3,0.939,30.512531518936157
TreeHeight,6,0.9577,30.152647972106934
TreeHeight,8,0.939,27.94050669670105
TreeHeight,10,0.939,33.330259561538696
TreeHeight,12,0.9624,44.9472177028656
MaxInitialTreeHeight,1,0.9296,26.596381187438965
MaxInitialTreeHeight,2,0.9249,25.89638328552246
MaxInitialTreeHeight,4,0.9343,29.728006601333618
MaxInitialTreeHeight,5,0.9343,23.500581979751587
MaxMutationSubtreeHeight,1,0.9155,24.134140491485596
MaxMutationSubtreeHeight,2,0.9437,24.8186297416687
MaxMutationSubtreeHeight,4,0.9343,32.27066349983215
MaxMutationSubtreeHeight,5,0.9202,25.03344750404358
CroisProbability,0.4,0.9531,18.21648597717285
CroisProbability,0.5,0.9249,21.906991004943848
CroisProbability,0.6,0.9155,19.662113666534424
CroisProbability,0.8,0.9296,30.455803871154785
MutationProbability,0.1,0.939,24.08313775062561
MutationProbability,0.15,0.9437,28.82264494895935
MutationProbability,0.25,0.939,28.10443639755249
MutationProbability,0.3,0.9577,27.537954568862915
TreeHeight,6,0.9108,25.577746391296387
TreeHeight,8,0.9484,42.42085123062134
